query_id,query_text,city,user_lat,user_lon,timestamp,query_type,source,raw_query_id,extra_context
mobilitybench_q_b73a09cec2435c4322,西双版纳车站附近的酒店,昆明市,25.012107,102.777094,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:5,"{""context"":{""city"":""昆明市"",""user_current_location"":""102.77709424495697,25.012106598455794""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'query_poi', 'arguments': {'keywords': '西双版纳车站', 'city': '昆明市'}}, {'name': 'search_around_poi', 'arguments': {'location': '100.773372,21.983691', 'keywords': '酒店'}}]""}"
mobilitybench_q_2d4d1a0ac8b88e2420,五路口附近的汽车充电站,西安市,34.270080,108.969827,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:13,"{""context"":{""city"":""西安市"",""user_current_location"":""108.96982669830324,34.27008010900987""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'query_poi', 'arguments': {'keywords': '五路口', 'city': '西安市'}}, {'name': 'search_around_poi', 'arguments': {'location': '108.962977,34.269554', 'keywords': '汽车充电站'}}]""}"
mobilitybench_q_1aefdb0657875de43f,高德地图找找附近的停车场,银川市,38.427008,106.292711,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:17,"{""context"":{""city"":""银川市"",""user_current_location"":""106.29271119832995,38.42700761191786""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'search_around_poi', 'arguments': {'location': '106.29271119832995,38.42700761191786', 'keywords': '停车场'}}]""}"
mobilitybench_q_cebd340b3a7add64f6,汉正街周边有没有免费的停车场,武汉市,30.408052,114.310256,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:35,"{""context"":{""city"":""武汉市"",""user_current_location"":""114.3102563917637,30.408052192630166""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'query_poi', 'arguments': {'keywords': '汉正街', 'city': '武汉市'}}, {'name': 'search_around_poi', 'arguments': {'location': '114.264162,30.565544', 'keywords': '免费的停车场'}}]""}"
mobilitybench_q_83a9828285da345927,华夏大道附近大型停车场,郑州市,34.637003,113.783342,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:44,"{""context"":{""city"":""郑州市"",""user_current_location"":""113.78334179520608,34.63700265904464""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'query_poi', 'arguments': {'keywords': '华夏大道', 'city': '郑州市'}}, {'name': 'search_around_poi', 'arguments': {'location': '113.812241,34.695760', 'keywords': '大型停车场'}}]""}"
mobilitybench_q_3667e19aaa33eb515b,搜一下附近最近的轮胎修换轮胎的,辽阳市,41.266805,123.165635,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:52,"{""context"":{""city"":""辽阳市"",""user_current_location"":""123.16563516855238,41.26680467752156""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'search_around_poi', 'arguments': {'location': '123.16563516855238,41.26680467752156', 'keywords': '轮胎'}}]""}"
mobilitybench_q_bbf8873ade355a6d6c,附近的加附近的中国人民银行,沈阳市,41.853525,123.480143,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:62,"{""context"":{""city"":""沈阳市"",""user_current_location"":""123.48014295101169,41.8535250851747""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'search_around_poi', 'arguments': {'location': '123.48014295101169,41.8535250851747', 'keywords': '中国人民银行'}}]""}"
mobilitybench_q_6a22cd1beed39b3c42,寻找附近的天然气加气站,沈阳市,41.780372,123.385291,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:66,"{""context"":{""city"":""沈阳市"",""user_current_location"":""123.38529065251355,41.78037193019121""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'search_around_poi', 'arguments': {'location': '123.38529065251355,41.78037193019121', 'keywords': '天然气加气站'}}]""}"
mobilitybench_q_261a6d375ad7159127,搜索一下周边的自助洗车,北京市,40.199360,116.728828,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:80,"{""context"":{""city"":""北京市"",""user_current_location"":""116.72882840037346,40.1993601346603""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'search_around_poi', 'arguments': {'location': '116.72882840037346,40.1993601346603', 'keywords': '自助洗车'}}]""}"
mobilitybench_q_882a065b0663ad81ab,我最近的招商银行ATM在哪里,深圳市,22.633323,114.037028,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:88,"{""context"":{""city"":""深圳市"",""user_current_location"":""114.037028,22.633323""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'search_around_poi', 'arguments': {'location': '114.037028,22.633323', 'keywords': '招商银行atm'}}]""}"
mobilitybench_q_e88061a1bfa4e4741d,砀山最近的保险公司在哪里,宿州市,34.421556,116.417254,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:109,"{""context"":{""city"":""宿州市"",""user_current_location"":""116.41725361347198,34.4215558511227""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'query_poi', 'arguments': {'keywords': '砀山', 'city': '宿州市'}}, {'name': 'search_around_poi', 'arguments': {'location': '116.366257,34.442139', 'keywords': '保险公司'}}]""}"
mobilitybench_q_80ab2c586e019782aa,黄河大街和民族东路交叉口附近的社区医院,包头市,40.633590,109.846198,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:120,"{""context"":{""city"":""包头市"",""user_current_location"":""109.84619826078416,40.633589767582095""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'query_poi', 'arguments': {'keywords': '黄河大街和民族东路交叉口', 'city': '包头市'}}, {'name': 'search_around_poi', 'arguments': {'location': '109.844352,40.628523', 'keywords': '社区医院'}}]""}"
mobilitybench_q_c0e4c2371ab2abbf12,附近的大型农贸批发市场,苏州市,31.258626,120.460819,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:126,"{""context"":{""city"":""苏州市"",""user_current_location"":""120.460819,31.258626""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'search_around_poi', 'arguments': {'location': '120.460819,31.258626', 'keywords': '大型农贸批发市场'}}]""}"
mobilitybench_q_e2e9c0bc3b0aaab144,附近哪里有上汽大众4S店,天津市,38.994123,117.654164,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:127,"{""context"":{""city"":""天津市"",""user_current_location"":""117.65416368842128,38.99412344790716""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'search_around_poi', 'arguments': {'location': '117.65416368842128,38.99412344790716', 'keywords': '上汽大众4s店'}}]""}"
mobilitybench_q_ab7927136d0e185b8f,呃搜索一下附近考试路段,宿迁市,34.114208,118.844431,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:133,"{""context"":{""city"":""宿迁市"",""user_current_location"":""118.84443148970604,34.114208451926636""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'search_around_poi', 'arguments': {'location': '118.84443148970604,34.114208451926636', 'keywords': '考试'}}]""}"
mobilitybench_q_3b45dcb4a2f01e5ae1,火车站万达附近的那个旅馆,德阳市,,,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:137,"{""context"":""{'user_current_location': nan, 'city': '德阳市'}"",""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'query_poi', 'arguments': {'keywords': '火车站万达', 'city': '德阳市'}}, {'name': 'search_around_poi', 'arguments': {'location': '104.414642,31.157714', 'keywords': '旅馆'}}]""}"
mobilitybench_q_e350287498a35f108e,小德小德帮我找附近的充电站,银川市,38.711528,106.315776,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:142,"{""context"":{""city"":""银川市"",""user_current_location"":""106.31577551364899,38.71152764410428""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'search_around_poi', 'arguments': {'location': '106.31577551364899,38.71152764410428', 'keywords': '充电站'}}]""}"
mobilitybench_q_23b4f36a9f86f943cd,江北附近哪里有保险公司？,宁波市,29.875361,121.587268,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:146,"{""context"":{""city"":""宁波市"",""user_current_location"":""121.58726781606674,29.87536093805777""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'query_poi', 'arguments': {'keywords': '江北', 'city': '宁波市'}}, {'name': 'search_around_poi', 'arguments': {'location': '121.555067,29.886730', 'keywords': '保险公司'}}]""}"
mobilitybench_q_88fae8c5aedbdf591a,我现在所在的位置附近汽车维修部,昆明市,24.961064,102.592509,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:157,"{""context"":{""city"":""昆明市"",""user_current_location"":""102.592509,24.961064""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'search_around_poi', 'arguments': {'location': '102.592509,24.961064', 'keywords': '汽车维修部'}}]""}"
